d,Number of Terms,Time(in microseconds)
8,0,5.0067901611328125
8,10,44.10743713378906
8,20,123.9776611328125
8,30,319.0040588378906
8,40,533.8191986083984
8,50,972.9862213134766
8,60,885.9634399414062
8,70,1720.9053039550781
8,80,1719.9516296386719
8,90,2397.0603942871094
7,0,2.86102294921875
7,1,2.86102294921875
7,2,2.1457672119140625
7,3,3.0994415283203125
7,4,1.9073486328125
7,5,2.86102294921875
7,6,3.0994415283203125
7,7,3.0994415283203125
7,8,4.0531158447265625
7,9,4.0531158447265625
7,10,4.0531158447265625
7,11,4.0531158447265625
7,12,3.814697265625
7,13,5.0067901611328125
7,14,6.198883056640625
7,15,5.0067901611328125
7,16,5.0067901611328125
7,17,5.0067901611328125
7,18,6.9141387939453125
7,19,6.198883056640625
7,20,6.9141387939453125
7,21,6.9141387939453125
7,22,7.152557373046875
7,23,8.106231689453125
7,24,7.8678131103515625
7,25,9.059906005859375
7,26,9.059906005859375
7,27,10.013580322265625
7,28,9.059906005859375
7,29,10.013580322265625
7,30,10.967254638671875
7,31,10.967254638671875
7,32,10.967254638671875
7,33,12.159347534179688
7,34,12.159347534179688
7,35,13.113021850585938
7,36,11.920928955078125
7,37,13.113021850585938
7,38,14.066696166992188
7,39,13.828277587890625
7,40,15.020370483398438
7,41,15.020370483398438
7,42,15.020370483398438
7,43,15.020370483398438
7,44,15.020370483398438
7,45,16.21246337890625
7,46,16.927719116210938
7,47,17.1661376953125
7,48,17.1661376953125
7,49,17.881393432617188
7,50,17.881393432617188
